(-10.0, 4.122307273313197e-09)
(-9.97, 4.377216478168577e-09)
(-9.940000000000001, 4.647888407482981e-09)
(-9.910000000000002, 4.935297837072028e-09)
(-9.880000000000003, 5.240479605816972e-09)
(-9.850000000000003, 5.56453272348989e-09)
(-9.820000000000004, 5.908624256534267e-09)
(-9.790000000000004, 6.273993102823283e-09)
(-9.760000000000005, 6.661955209708026e-09)
(-9.730000000000006, 7.073907459798079e-09)
(-9.700000000000006, 7.511333555143551e-09)
(-9.670000000000007, 7.975808458127176e-09)
(-9.640000000000008, 8.469004830757854e-09)
(-9.610000000000008, 8.992698918852682e-09)
(-9.580000000000009, 9.548776325196684e-09)
(-9.55000000000001, 1.0139239670081679e-08)
(-9.52000000000001, 1.0766215252644429e-08)
(-9.49000000000001, 1.1431960822427811e-08)
(-9.460000000000012, 1.2138873795031202e-08)
(-9.430000000000012, 1.2889499800827764e-08)
(-9.400000000000013, 1.3686541899815552e-08)
(-9.370000000000013, 1.4532870462602432e-08)
(-9.340000000000014, 1.5431532940368697e-08)
(-9.310000000000015, 1.638576563323113e-08)
(-9.280000000000015, 1.739900479247325e-08)
(-9.250000000000016, 1.8474899166065484e-08)
(-9.220000000000017, 1.961732309929687e-08)
(-9.190000000000017, 2.0830390634607454e-08)
(-9.160000000000018, 2.211847005550993e-08)
(-9.130000000000019, 2.348619976277888e-08)
(-9.10000000000002, 2.4938505260863053e-08)
(-9.07000000000002, 2.6480616255319944e-08)
(-9.04000000000002, 2.811808608171873e-08)
(-9.010000000000021, 2.98568114676101e-08)
(-8.980000000000022, 3.170305351574143e-08)
(-8.950000000000022, 3.366346079669569e-08)
(-8.920000000000023, 3.574509299664186e-08)
(-8.890000000000024, 3.7955446008375304e-08)
(-8.860000000000024, 4.030247968689338e-08)
(-8.830000000000025, 4.279464582701564e-08)
(-8.800000000000026, 4.5440918805539354e-08)
(-8.770000000000026, 4.825082822179638e-08)
(-8.740000000000027, 5.1234492759455463e-08)
(-8.710000000000027, 5.440265671285971e-08)
(-8.680000000000028, 5.7766729066877076e-08)
(-8.650000000000029, 6.133882402004076e-08)
(-8.62000000000003, 6.513180494938098e-08)
(-8.59000000000003, 6.915933070672509e-08)
(-8.56000000000003, 7.343590469055528e-08)
(-8.530000000000031, 7.797692724853533e-08)
(-8.500000000000032, 8.279875096661726e-08)
(-8.470000000000033, 8.79187395108616e-08)
(-8.440000000000033, 9.335533046606059e-08)
(-8.410000000000034, 9.912810150503049e-08)
(-8.380000000000035, 1.0525784055470666e-07)
(-8.350000000000035, 1.1176662162437623e-07)
(-8.320000000000036, 1.1867788307640126e-07)
(-8.290000000000036, 1.2601651311339168e-07)
(-8.260000000000037, 1.3380893848502495e-07)
(-8.230000000000038, 1.4208322063335999e-07)
(-8.200000000000038, 1.5086915561290937e-07)
(-8.170000000000039, 1.6019838244840656e-07)
(-8.14000000000004, 1.7010449626653212e-07)
(-8.11000000000004, 1.806231699763572e-07)
(-8.080000000000041, 1.9179228194499132e-07)
(-8.050000000000042, 2.0365205311012602e-07)
(-8.020000000000042, 2.1624519142005028e-07)
